 Example 1 - Column Test                                                 

 Program SWMS_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = sec  , M = -    
   39     0.0    46.0 0.077 0.077
   41     0.0    45.0 0.077 0.077
   43     0.0    44.0 0.077 0.077
   45     0.0    43.0 0.077 0.077
   47     0.0    42.0 0.077 0.077
   49     0.0    41.0 0.077 0.077
   51     0.0    40.0 0.077 0.077
   53     0.0    39.0 0.077 0.077
   55     0.0    38.0 0.077 0.077
   57     0.0    37.0 0.077 0.077
   59     0.0    36.0 0.077 0.077
   61     0.0    35.0 0.077 0.077
   63     0.0    34.0 0.077 0.077
   65     0.0    33.0 0.077 0.077
   67     0.0    32.0 0.077 0.077
   69     0.0    31.0 0.077 0.077
   71     0.0    30.0 0.077 0.077
   73     0.0    29.0 0.077 0.077
   75     0.0    28.0 0.077 0.077
   77     0.0    27.0 0.077 0.077
   79     0.0    26.0 0.077 0.077
   81     0.0    25.0 0.077 0.077
   83     0.0    24.0 0.077 0.077
   85     0.0    23.0 0.077 0.077
   87     0.0    22.0 0.077 0.077
   89     0.0    21.0 0.077 0.077
   91     0.0    20.0 0.077 0.077
   93     0.0    18.0 0.077 0.077
   95     0.0    16.0 0.077 0.077
   97     0.0    14.0 0.077 0.077
   99     0.0    12.0 0.077 0.077
  101     0.0    10.0 0.077 0.077
  103     0.0     8.0 0.077 0.077
  105     0.0     6.0 0.077 0.077
  107     0.0     4.0 0.077 0.077
  109     0.0     2.0 0.077 0.077
  111     0.0     0.0 0.077 0.077


 Time  ***    900.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1     0.0    61.0 0.350 0.350
    3     0.0    60.8 0.350 0.350
    5     0.0    60.5 0.350 0.350
    7     0.0    60.2 0.350 0.350
    9     0.0    60.0 0.350 0.350
   11     0.0    59.5 0.349 0.349
   13     0.0    59.0 0.347 0.347
   15     0.0    58.0 0.343 0.343
   17     0.0    57.0 0.337 0.337
   19     0.0    56.0 0.329 0.329
   21     0.0    55.0 0.321 0.321
   23     0.0    54.0 0.312 0.312
   25     0.0    53.0 0.303 0.303
   27     0.0    52.0 0.294 0.294
   29     0.0    51.0 0.285 0.285
   31     0.0    50.0 0.274 0.274
   33     0.0    49.0 0.260 0.260
   35     0.0    48.0 0.241 0.241
   37     0.0    47.0 0.215 0.215
   39     0.0    46.0 0.176 0.177
   41     0.0    45.0 0.124 0.130
   43     0.0    44.0 0.083 0.087
   45     0.0    43.0 0.077 0.077
   47     0.0    42.0 0.077 0.077
   49     0.0    41.0 0.077 0.077
   51     0.0    40.0 0.077 0.077
   53     0.0    39.0 0.077 0.077
   55     0.0    38.0 0.077 0.077
   57     0.0    37.0 0.077 0.077
   59     0.0    36.0 0.077 0.077
   61     0.0    35.0 0.077 0.077
   63     0.0    34.0 0.077 0.077
   65     0.0    33.0 0.077 0.077
   67     0.0    32.0 0.077 0.077
   69     0.0    31.0 0.077 0.077
   71     0.0    30.0 0.077 0.077
   73     0.0    29.0 0.077 0.077
   75     0.0    28.0 0.077 0.077
   77     0.0    27.0 0.077 0.077
   79     0.0    26.0 0.077 0.077
   81     0.0    25.0 0.077 0.077
   83     0.0    24.0 0.077 0.077
   85     0.0    23.0 0.077 0.077
   87     0.0    22.0 0.077 0.077
   89     0.0    21.0 0.077 0.077
   91     0.0    20.0 0.077 0.077
   93     0.0    18.0 0.077 0.077
   95     0.0    16.0 0.077 0.077
   97     0.0    14.0 0.077 0.077
   99     0.0    12.0 0.077 0.077
  101     0.0    10.0 0.077 0.077
  103     0.0     8.0 0.077 0.077
  105     0.0     6.0 0.077 0.077
  107     0.0     4.0 0.077 0.077
  109     0.0     2.0 0.077 0.077
  111     0.0     0.0 0.077 0.077


 Time  ***   1800.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1     0.0    61.0 0.350 0.350
    3     0.0    60.8 0.350 0.350
    5     0.0    60.5 0.350 0.350
    7     0.0    60.2 0.350 0.350
    9     0.0    60.0 0.350 0.350
   11     0.0    59.5 0.350 0.350
   13     0.0    59.0 0.349 0.349
   15     0.0    58.0 0.347 0.347
   17     0.0    57.0 0.345 0.345
   19     0.0    56.0 0.341 0.341
   21     0.0    55.0 0.337 0.337
   23     0.0    54.0 0.332 0.332
   25     0.0    53.0 0.327 0.327
   27     0.0    52.0 0.321 0.321
   29     0.0    51.0 0.316 0.316
   31     0.0    50.0 0.310 0.310
   33     0.0    49.0 0.304 0.304
   35     0.0    48.0 0.298 0.298
   37     0.0    47.0 0.292 0.292
   39     0.0    46.0 0.286 0.286
   41     0.0    45.0 0.280 0.280
   43     0.0    44.0 0.272 0.272
   45     0.0    43.0 0.262 0.262
   47     0.0    42.0 0.250 0.250
   49     0.0    41.0 0.234 0.233
   51     0.0    40.0 0.212 0.212
   53     0.0    39.0 0.183 0.183
   55     0.0    38.0 0.143 0.145
   57     0.0    37.0 0.098 0.103
   59     0.0    36.0 0.079 0.080
   61     0.0    35.0 0.077 0.077
   63     0.0    34.0 0.077 0.077
   65     0.0    33.0 0.077 0.077
   67     0.0    32.0 0.077 0.077
   69     0.0    31.0 0.077 0.077
   71     0.0    30.0 0.077 0.077
   73     0.0    29.0 0.077 0.077
   75     0.0    28.0 0.077 0.077
   77     0.0    27.0 0.077 0.077
   79     0.0    26.0 0.077 0.077
   81     0.0    25.0 0.077 0.077
   83     0.0    24.0 0.077 0.077
   85     0.0    23.0 0.077 0.077
   87     0.0    22.0 0.077 0.077
   89     0.0    21.0 0.077 0.077
   91     0.0    20.0 0.077 0.077
   93     0.0    18.0 0.077 0.077
   95     0.0    16.0 0.077 0.077
   97     0.0    14.0 0.077 0.077
   99     0.0    12.0 0.077 0.077
  101     0.0    10.0 0.077 0.077
  103     0.0     8.0 0.077 0.077
  105     0.0     6.0 0.077 0.077
  107     0.0     4.0 0.077 0.077
  109     0.0     2.0 0.077 0.077
  111     0.0     0.0 0.077 0.077


 Time  ***   2700.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1     0.0    61.0 0.350 0.350
    3     0.0    60.8 0.350 0.350
    5     0.0    60.5 0.350 0.350
    7     0.0    60.2 0.350 0.350
    9     0.0    60.0 0.350 0.350
   11     0.0    59.5 0.350 0.350
   13     0.0    59.0 0.350 0.350
   15     0.0    58.0 0.349 0.349
   17     0.0    57.0 0.347 0.347
   19     0.0    56.0 0.345 0.345
   21     0.0    55.0 0.342 0.342
   23     0.0    54.0 0.339 0.339
   25     0.0    53.0 0.336 0.336
   27     0.0    52.0 0.332 0.332
   29     0.0    51.0 0.328 0.328
   31     0.0    50.0 0.324 0.324
   33     0.0    49.0 0.319 0.319
   35     0.0    48.0 0.315 0.315
   37     0.0    47.0 0.310 0.310
   39     0.0    46.0 0.306 0.306
   41     0.0    45.0 0.301 0.301
   43     0.0    44.0 0.297 0.297
   45     0.0    43.0 0.293 0.293
   47     0.0    42.0 0.288 0.288
   49     0.0    41.0 0.283 0.283
   51     0.0    40.0 0.278 0.278
   53     0.0    39.0 0.271 0.271
   55     0.0    38.0 0.264 0.264
   57     0.0    37.0 0.254 0.254
   59     0.0    36.0 0.242 0.242
   61     0.0    35.0 0.227 0.226
   63     0.0    34.0 0.207 0.207
   65     0.0    33.0 0.180 0.180
   67     0.0    32.0 0.145 0.146
   69     0.0    31.0 0.104 0.108
   71     0.0    30.0 0.080 0.081
   73     0.0    29.0 0.077 0.077
   75     0.0    28.0 0.077 0.077
   77     0.0    27.0 0.077 0.077
   79     0.0    26.0 0.077 0.077
   81     0.0    25.0 0.077 0.077
   83     0.0    24.0 0.077 0.077
   85     0.0    23.0 0.077 0.077
   87     0.0    22.0 0.077 0.077
   89     0.0    21.0 0.077 0.077
   91     0.0    20.0 0.077 0.077
   93     0.0    18.0 0.077 0.077
   95     0.0    16.0 0.077 0.077
   97     0.0    14.0 0.077 0.077
   99     0.0    12.0 0.077 0.077
  101     0.0    10.0 0.077 0.077
  103     0.0     8.0 0.077 0.077
  105     0.0     6.0 0.077 0.077
  107     0.0     4.0 0.077 0.077
  109     0.0     2.0 0.077 0.077
  111     0.0     0.0 0.077 0.077


 Time  ***   3600.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1     0.0    61.0 0.350 0.350
    3     0.0    60.8 0.350 0.350
    5     0.0    60.5 0.350 0.350
    7     0.0    60.2 0.350 0.350
    9     0.0    60.0 0.350 0.350
   11     0.0    59.5 0.350 0.350
   13     0.0    59.0 0.350 0.350
   15     0.0    58.0 0.349 0.349
   17     0.0    57.0 0.348 0.348
   19     0.0    56.0 0.347 0.347
   21     0.0    55.0 0.345 0.345
   23     0.0    54.0 0.343 0.343
   25     0.0    53.0 0.340 0.340
   27     0.0    52.0 0.338 0.338
   29     0.0    51.0 0.335 0.335
   31     0.0    50.0 0.331 0.331
   33     0.0    49.0 0.328 0.328
   35     0.0    48.0 0.325 0.325
   37     0.0    47.0 0.321 0.321
   39     0.0    46.0 0.317 0.317
   41     0.0    45.0 0.314 0.314
   43     0.0    44.0 0.310 0.310
   45     0.0    43.0 0.306 0.306
   47     0.0    42.0 0.302 0.302
   49     0.0    41.0 0.299 0.299
   51     0.0    40.0 0.295 0.295
   53     0.0    39.0 0.292 0.292
   55     0.0    38.0 0.288 0.288
   57     0.0    37.0 0.284 0.284
   59     0.0    36.0 0.279 0.279
   61     0.0    35.0 0.274 0.274
   63     0.0    34.0 0.268 0.268
   65     0.0    33.0 0.261 0.261
   67     0.0    32.0 0.252 0.252
   69     0.0    31.0 0.241 0.241
   71     0.0    30.0 0.228 0.228
   73     0.0    29.0 0.210 0.210
   75     0.0    28.0 0.188 0.188
   77     0.0    27.0 0.159 0.159
   79     0.0    26.0 0.121 0.124
   81     0.0    25.0 0.087 0.090
   83     0.0    24.0 0.078 0.078
   85     0.0    23.0 0.077 0.077
   87     0.0    22.0 0.077 0.077
   89     0.0    21.0 0.077 0.077
   91     0.0    20.0 0.077 0.077
   93     0.0    18.0 0.077 0.077
   95     0.0    16.0 0.077 0.077
   97     0.0    14.0 0.077 0.077
   99     0.0    12.0 0.077 0.077
  101     0.0    10.0 0.077 0.077
  103     0.0     8.0 0.077 0.077
  105     0.0     6.0 0.077 0.077
  107     0.0     4.0 0.077 0.077
  109     0.0     2.0 0.077 0.077
  111     0.0     0.0 0.077 0.077


 Time  ***   5400.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1     0.0    61.0 0.350 0.350
    3     0.0    60.8 0.350 0.350
    5     0.0    60.5 0.350 0.350
    7     0.0    60.2 0.350 0.350
    9     0.0    60.0 0.350 0.350
   11     0.0    59.5 0.350 0.350
   13     0.0    59.0 0.350 0.350
   15     0.0    58.0 0.350 0.350
   17     0.0    57.0 0.349 0.349
   19     0.0    56.0 0.348 0.348
   21     0.0    55.0 0.347 0.347
   23     0.0    54.0 0.346 0.346
   25     0.0    53.0 0.345 0.345
   27     0.0    52.0 0.343 0.343
   29     0.0    51.0 0.341 0.341
   31     0.0    50.0 0.339 0.339
   33     0.0    49.0 0.337 0.337
   35     0.0    48.0 0.335 0.335
   37     0.0    47.0 0.332 0.332
   39     0.0    46.0 0.330 0.330
   41     0.0    45.0 0.327 0.327
   43     0.0    44.0 0.324 0.324
   45     0.0    43.0 0.322 0.322
   47     0.0    42.0 0.319 0.319
   49     0.0    41.0 0.316 0.316
   51     0.0    40.0 0.313 0.313
   53     0.0    39.0 0.310 0.310
   55     0.0    38.0 0.308 0.308
   57     0.0    37.0 0.305 0.305
   59     0.0    36.0 0.302 0.302
   61     0.0    35.0 0.299 0.299
   63     0.0    34.0 0.296 0.296
   65     0.0    33.0 0.294 0.294
   67     0.0    32.0 0.291 0.291
   69     0.0    31.0 0.288 0.288
   71     0.0    30.0 0.286 0.286
   73     0.0    29.0 0.282 0.282
   75     0.0    28.0 0.279 0.279
   77     0.0    27.0 0.275 0.275
   79     0.0    26.0 0.270 0.270
   81     0.0    25.0 0.264 0.264
   83     0.0    24.0 0.258 0.258
   85     0.0    23.0 0.250 0.250
   87     0.0    22.0 0.240 0.240
   89     0.0    21.0 0.228 0.227
   91     0.0    20.0 0.212 0.212
   93     0.0    18.0 0.172 0.172
   95     0.0    16.0 0.117 0.119
   97     0.0    14.0 0.081 0.082
   99     0.0    12.0 0.077 0.077
  101     0.0    10.0 0.077 0.077
  103     0.0     8.0 0.077 0.077
  105     0.0     6.0 0.077 0.077
  107     0.0     4.0 0.077 0.077
  109     0.0     2.0 0.077 0.077
  111     0.0     0.0 0.078 0.078
