 Example 1 - Column Test                                                 
   85     0.0    23.0  0.00E+00  0.00E+00
   87     0.0    22.0  0.00E+00  0.00E+00
   89     0.0    21.0  0.38E-11  0.00E+00
   91     0.0    20.0  0.76E-11  0.76E-11
   93     0.0    18.0  0.00E+00  0.38E-11
   95     0.0    16.0  0.00E+00  0.00E+00
   97     0.0    14.0  0.00E+00  0.00E+00
   99     0.0    12.0  0.00E+00  0.00E+00
  101     0.0    10.0  0.00E+00  0.00E+00
  103     0.0     8.0  0.00E+00  0.00E+00
  105     0.0     6.0  0.00E+00  0.00E+00
  107     0.0     4.0  0.27E-10  0.00E+00
  109     0.0     2.0  0.49E-08  0.53E-10
  111     0.0     0.0  0.15E-07  0.73E-08


 Time  ***    900.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1     0.0    61.0  0.56E-07  0.00E+00
    3     0.0    60.8  0.13E-06  0.74E-07
    5     0.0    60.5  0.17E-06  0.15E-06
    7     0.0    60.2  0.18E-06  0.17E-06
    9     0.0    60.0  0.18E-06  0.20E-06
   11     0.0    59.5  0.14E-06  0.15E-06
   13     0.0    59.0  0.12E-06  0.15E-06
   15     0.0    58.0  0.17E-07  0.70E-07
   17     0.0    57.0 -0.16E-08  0.79E-08
   19     0.0    56.0  0.12E-07 -0.25E-08
   21     0.0    55.0  0.15E-06  0.28E-07
   23     0.0    54.0  0.97E-06  0.25E-06
   25     0.0    53.0  0.57E-05  0.16E-05
   27     0.0    52.0  0.14E-04  0.92E-05
   29     0.0    51.0  0.16E-04  0.14E-04
   31     0.0    50.0  0.17E-04  0.14E-04
   33     0.0    49.0  0.17E-04  0.13E-04
   35     0.0    48.0  0.14E-04  0.12E-04
   37     0.0    47.0 -0.13E-04  0.75E-05
   39     0.0    46.0 -0.70E-04 -0.12E-04
   41     0.0    45.0 -0.34E-04 -0.23E-04
   43     0.0    44.0 -0.33E-05 -0.53E-05
   45     0.0    43.0 -0.13E-06 -0.12E-05
   47     0.0    42.0 -0.37E-08 -0.67E-07
   49     0.0    41.0 -0.11E-09 -0.19E-08
   51     0.0    40.0 -0.38E-11 -0.59E-10
   53     0.0    39.0  0.00E+00 -0.19E-11
   55     0.0    38.0  0.00E+00  0.00E+00
   57     0.0    37.0  0.00E+00  0.00E+00
   59     0.0    36.0  0.00E+00  0.00E+00
   61     0.0    35.0  0.00E+00  0.00E+00
   63     0.0    34.0  0.00E+00  0.00E+00
   65     0.0    33.0  0.00E+00  0.00E+00
   67     0.0    32.0  0.00E+00  0.00E+00
   69     0.0    31.0  0.00E+00  0.00E+00
   71     0.0    30.0  0.00E+00  0.00E+00
   73     0.0    29.0  0.00E+00  0.00E+00
   75     0.0    28.0  0.00E+00  0.00E+00
   77     0.0    27.0  0.00E+00  0.00E+00
   79     0.0    26.0  0.00E+00  0.00E+00
   81     0.0    25.0  0.00E+00  0.00E+00
   83     0.0    24.0  0.00E+00  0.00E+00
   85     0.0    23.0  0.00E+00  0.00E+00
   87     0.0    22.0  0.00E+00  0.00E+00
   89     0.0    21.0  0.38E-11  0.00E+00
   91     0.0    20.0  0.76E-11  0.76E-11
   93     0.0    18.0  0.00E+00  0.38E-11
   95     0.0    16.0  0.00E+00  0.00E+00
   97     0.0    14.0  0.00E+00  0.00E+00
   99     0.0    12.0  0.00E+00  0.00E+00
  101     0.0    10.0  0.38E-11  0.00E+00
  103     0.0     8.0  0.76E-11  0.76E-11
  105     0.0     6.0  0.32E-10  0.38E-11
  107     0.0     4.0  0.77E-09  0.65E-10
  109     0.0     2.0  0.15E-07  0.14E-08
  111     0.0     0.0  0.41E-07  0.21E-07


 Time  ***   1800.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1     0.0    61.0  0.22E-07  0.00E+00
    3     0.0    60.8  0.63E-07  0.30E-07
    5     0.0    60.5  0.11E-06  0.82E-07
    7     0.0    60.2  0.12E-06  0.11E-06
    9     0.0    60.0  0.12E-06  0.13E-06
   11     0.0    59.5  0.11E-06  0.11E-06
   13     0.0    59.0  0.99E-07  0.12E-06
   15     0.0    58.0  0.18E-07  0.61E-07
   17     0.0    57.0  0.27E-08  0.11E-07
   19     0.0    56.0 -0.16E-08  0.10E-08
   21     0.0    55.0 -0.38E-08 -0.25E-08
   23     0.0    54.0 -0.50E-08 -0.43E-08
   25     0.0    53.0 -0.58E-08 -0.52E-08
   27     0.0    52.0 -0.58E-08 -0.63E-08
   29     0.0    51.0  0.51E-08 -0.49E-08
   31     0.0    50.0  0.79E-07  0.14E-07
   33     0.0    49.0  0.51E-06  0.13E-06
   35     0.0    48.0  0.30E-05  0.83E-06
   37     0.0    47.0  0.62E-05  0.49E-05
   39     0.0    46.0  0.56E-05  0.53E-05
   41     0.0    45.0  0.64E-05  0.57E-05
   43     0.0    44.0  0.61E-05  0.54E-05
   45     0.0    43.0  0.72E-05  0.55E-05
   47     0.0    42.0  0.92E-05  0.63E-05
   49     0.0    41.0  0.97E-05  0.77E-05
   51     0.0    40.0  0.17E-05  0.60E-05
   53     0.0    39.0 -0.25E-04 -0.13E-05
   55     0.0    38.0 -0.43E-04 -0.13E-04
   57     0.0    37.0 -0.90E-05 -0.11E-04
   59     0.0    36.0 -0.88E-06 -0.20E-05
   61     0.0    35.0 -0.36E-07 -0.41E-06
   63     0.0    34.0 -0.14E-08 -0.19E-07
   65     0.0    33.0 -0.59E-10 -0.73E-09
   67     0.0    32.0 -0.11E-10 -0.38E-10
   69     0.0    31.0  0.00E+00 -0.57E-11
   71     0.0    30.0  0.00E+00  0.00E+00
   73     0.0    29.0  0.00E+00  0.00E+00
   75     0.0    28.0  0.00E+00  0.00E+00
   77     0.0    27.0  0.00E+00  0.00E+00
   79     0.0    26.0  0.00E+00  0.00E+00
   81     0.0    25.0  0.00E+00  0.00E+00
   83     0.0    24.0  0.00E+00  0.00E+00
   85     0.0    23.0  0.00E+00  0.00E+00
   87     0.0    22.0  0.00E+00  0.00E+00
   89     0.0    21.0  0.38E-11  0.00E+00
   91     0.0    20.0  0.76E-11  0.76E-11
   93     0.0    18.0  0.00E+00  0.38E-11
   95     0.0    16.0  0.00E+00  0.00E+00
   97     0.0    14.0  0.00E+00  0.00E+00
   99     0.0    12.0  0.00E+00  0.00E+00
  101     0.0    10.0  0.00E+00  0.00E+00
  103     0.0     8.0 -0.76E-11  0.00E+00
  105     0.0     6.0 -0.15E-10 -0.15E-10
  107     0.0     4.0  0.53E-09 -0.76E-11
  109     0.0     2.0  0.11E-07  0.11E-08
  111     0.0     0.0  0.30E-07  0.16E-07


 Time  ***   2700.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1     0.0    61.0  0.12E-07  0.00E+00
    3     0.0    60.8  0.35E-07  0.16E-07
    5     0.0    60.5  0.70E-07  0.45E-07
    7     0.0    60.2  0.10E-06  0.84E-07
    9     0.0    60.0  0.93E-07  0.10E-06
   11     0.0    59.5  0.81E-07  0.81E-07
   13     0.0    59.0  0.74E-07  0.91E-07
   15     0.0    58.0  0.13E-07  0.46E-07
   17     0.0    57.0  0.27E-08  0.86E-08
   19     0.0    56.0  0.23E-09  0.17E-08
   21     0.0    55.0 -0.79E-09 -0.23E-09
   23     0.0    54.0 -0.12E-08 -0.91E-09
   25     0.0    53.0 -0.20E-08 -0.15E-08
   27     0.0    52.0 -0.32E-08 -0.24E-08
   29     0.0    51.0 -0.41E-08 -0.36E-08
   31     0.0    50.0 -0.43E-08 -0.40E-08
   33     0.0    49.0 -0.47E-08 -0.45E-08
   35     0.0    48.0 -0.40E-08 -0.47E-08
   37     0.0    47.0  0.22E-08 -0.33E-08
   39     0.0    46.0  0.42E-07  0.71E-08
   41     0.0    45.0  0.28E-06  0.72E-07
   43     0.0    44.0  0.17E-05  0.46E-06
   45     0.0    43.0  0.35E-05  0.27E-05
   47     0.0    42.0  0.30E-05  0.32E-05
   49     0.0    41.0  0.32E-05  0.27E-05
   51     0.0    40.0  0.38E-05  0.33E-05
   53     0.0    39.0  0.38E-05  0.33E-05
   55     0.0    38.0  0.43E-05  0.37E-05
   57     0.0    37.0  0.49E-05  0.35E-05
   59     0.0    36.0  0.67E-05  0.47E-05
   61     0.0    35.0  0.71E-05  0.53E-05
   63     0.0    34.0  0.27E-05  0.49E-05
   65     0.0    33.0 -0.15E-04 -0.15E-06
   67     0.0    32.0 -0.34E-04 -0.94E-05
   69     0.0    31.0 -0.11E-04 -0.11E-04
   71     0.0    30.0 -0.13E-05 -0.24E-05
   73     0.0    29.0 -0.70E-07 -0.58E-06
   75     0.0    28.0 -0.31E-08 -0.37E-07
   77     0.0    27.0 -0.14E-09 -0.17E-08
   79     0.0    26.0 -0.11E-10 -0.76E-10
   81     0.0    25.0  0.00E+00 -0.57E-11
   83     0.0    24.0  0.00E+00  0.00E+00
   85     0.0    23.0  0.00E+00  0.00E+00
   87     0.0    22.0  0.19E-11  0.00E+00
   89     0.0    21.0  0.57E-11  0.38E-11
   91     0.0    20.0  0.38E-11  0.57E-11
   93     0.0    18.0  0.00E+00  0.19E-11
   95     0.0    16.0  0.00E+00  0.00E+00
   97     0.0    14.0  0.00E+00  0.00E+00
   99     0.0    12.0  0.00E+00  0.00E+00
  101     0.0    10.0 -0.19E-11  0.00E+00
  103     0.0     8.0 -0.15E-10 -0.38E-11
  105     0.0     6.0 -0.31E-10 -0.25E-10
  107     0.0     4.0  0.40E-09 -0.27E-10
  109     0.0     2.0  0.85E-08  0.84E-09
  111     0.0     0.0  0.24E-07  0.12E-07


 Time  ***   3600.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1     0.0    61.0  0.80E-08  0.00E+00
    3     0.0    60.8  0.23E-07  0.11E-07
    5     0.0    60.5  0.46E-07  0.29E-07
    7     0.0    60.2  0.74E-07  0.55E-07
    9     0.0    60.0  0.81E-07  0.83E-07
   11     0.0    59.5  0.66E-07  0.69E-07
   13     0.0    59.0  0.60E-07  0.74E-07
   15     0.0    58.0  0.11E-07  0.37E-07
   17     0.0    57.0  0.23E-08  0.70E-08
   19     0.0    56.0  0.46E-09  0.15E-08
   21     0.0    55.0  0.00E+00  0.23E-09
   23     0.0    54.0 -0.23E-09  0.00E+00
   25     0.0    53.0 -0.79E-09 -0.45E-09
   27     0.0    52.0 -0.12E-08 -0.90E-09
   29     0.0    51.0 -0.18E-08 -0.15E-08
   31     0.0    50.0 -0.23E-08 -0.19E-08
   33     0.0    49.0 -0.27E-08 -0.25E-08
   35     0.0    48.0 -0.27E-08 -0.27E-08
   37     0.0    47.0 -0.29E-08 -0.27E-08
   39     0.0    46.0 -0.36E-08 -0.31E-08
   41     0.0    45.0 -0.40E-08 -0.38E-08
   43     0.0    44.0 -0.33E-08 -0.40E-08
   45     0.0    43.0  0.29E-08 -0.27E-08
   47     0.0    42.0  0.40E-07  0.78E-08
   49     0.0    41.0  0.26E-06  0.68E-07
   51     0.0    40.0  0.15E-05  0.42E-06
   53     0.0    39.0  0.28E-05  0.25E-05
   55     0.0    38.0  0.16E-05  0.21E-05
   57     0.0    37.0  0.19E-05  0.15E-05
   59     0.0    36.0  0.28E-05  0.22E-05
   61     0.0    35.0  0.25E-05  0.27E-05
   63     0.0    34.0  0.23E-05  0.18E-05
   65     0.0    33.0  0.36E-05  0.27E-05
   67     0.0    32.0  0.38E-05  0.30E-05
   69     0.0    31.0  0.51E-05  0.35E-05
   71     0.0    30.0  0.57E-05  0.45E-05
   73     0.0    29.0  0.42E-05  0.39E-05
   75     0.0    28.0 -0.44E-05  0.23E-05
   77     0.0    27.0 -0.24E-04 -0.44E-05
   79     0.0    26.0 -0.20E-04 -0.10E-04
   81     0.0    25.0 -0.36E-05 -0.49E-05
   83     0.0    24.0 -0.32E-06 -0.12E-05
   85     0.0    23.0 -0.16E-07 -0.16E-06
   87     0.0    22.0 -0.81E-09 -0.87E-08
   89     0.0    21.0 -0.36E-10 -0.43E-09
   91     0.0    20.0  0.38E-11 -0.15E-10
   93     0.0    18.0  0.00E+00  0.19E-11
   95     0.0    16.0  0.00E+00  0.00E+00
   97     0.0    14.0  0.00E+00  0.00E+00
   99     0.0    12.0  0.00E+00  0.00E+00
  101     0.0    10.0 -0.38E-11  0.00E+00
  103     0.0     8.0 -0.30E-10 -0.76E-11
  105     0.0     6.0 -0.69E-10 -0.50E-10
  107     0.0     4.0  0.31E-09 -0.69E-10
  109     0.0     2.0  0.70E-08  0.69E-09
  111     0.0     0.0  0.20E-07  0.10E-07


 Time  ***   5400.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1     0.0    61.0  0.39E-08  0.00E+00
    3     0.0    60.8  0.11E-07  0.53E-08
    5     0.0    60.5  0.23E-07  0.14E-07
    7     0.0    60.2  0.40E-07  0.27E-07
    9     0.0    60.0  0.55E-07  0.47E-07
   11     0.0    59.5  0.58E-07  0.55E-07
   13     0.0    59.0  0.46E-07  0.61E-07
   15     0.0    58.0  0.83E-08  0.29E-07
   17     0.0    57.0  0.17E-08  0.53E-08
   19     0.0    56.0  0.40E-09  0.11E-08
   21     0.0    55.0  0.23E-09  0.29E-09
   23     0.0    54.0  0.23E-09  0.28E-09
   25     0.0    53.0 -0.11E-09  0.11E-09
   27     0.0    52.0 -0.34E-09 -0.23E-09
   29     0.0    51.0 -0.45E-09 -0.34E-09
   31     0.0    50.0 -0.68E-09 -0.57E-09
   33     0.0    49.0 -0.68E-09 -0.68E-09
   35     0.0    48.0 -0.90E-09 -0.68E-09
   37     0.0    47.0 -0.11E-08 -0.11E-08
   39     0.0    46.0 -0.68E-09 -0.90E-09
   41     0.0    45.0 -0.11E-08 -0.67E-09
   43     0.0    44.0 -0.18E-08 -0.16E-08
   45     0.0    43.0 -0.16E-08 -0.16E-08
   47     0.0    42.0 -0.22E-08 -0.18E-08
   49     0.0    41.0 -0.25E-08 -0.25E-08
   51     0.0    40.0 -0.22E-08 -0.22E-08
   53     0.0    39.0 -0.29E-08 -0.25E-08
   55     0.0    38.0 -0.31E-08 -0.31E-08
   57     0.0    37.0 -0.20E-08 -0.29E-08
   59     0.0    36.0  0.31E-08 -0.13E-08
   61     0.0    35.0  0.32E-07  0.69E-08
   63     0.0    34.0  0.20E-06  0.54E-07
   65     0.0    33.0  0.11E-05  0.32E-06
   67     0.0    32.0  0.18E-05  0.17E-05
   69     0.0    31.0  0.75E-06  0.13E-05
   71     0.0    30.0  0.80E-06  0.69E-06
   73     0.0    29.0  0.13E-05  0.91E-06
   75     0.0    28.0  0.18E-05  0.14E-05
   77     0.0    27.0  0.17E-05  0.17E-05
   79     0.0    26.0  0.15E-05  0.14E-05
   81     0.0    25.0  0.20E-05  0.15E-05
   83     0.0    24.0  0.28E-05  0.19E-05
   85     0.0    23.0  0.34E-05  0.28E-05
   87     0.0    22.0  0.46E-05  0.27E-05
   89     0.0    21.0  0.11E-04  0.48E-05
   91     0.0    20.0  0.50E-05  0.10E-04
   93     0.0    18.0 -0.24E-04 -0.11E-05
   95     0.0    16.0 -0.95E-05 -0.62E-05
   97     0.0    14.0 -0.92E-06 -0.13E-05
   99     0.0    12.0 -0.26E-07 -0.36E-06
  101     0.0    10.0 -0.54E-09 -0.13E-07
  103     0.0     8.0 -0.46E-10 -0.29E-09
  105     0.0     6.0 -0.67E-10 -0.57E-10
  107     0.0     4.0  0.24E-09 -0.65E-10
  109     0.0     2.0  0.55E-08  0.56E-09
  111     0.0     0.0  0.15E-07  0.81E-08
